Springfield,,,,,,,,,,,,
January 2012 - January 2019,,,,,,,,,,,,
Report Date: 02/23/2019 10:12 AM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Springfield,Colonel Otis B. Duncan American Legion Post 809,120905895,5,13750438,12596670.98,1153767.02,4569408,3415640.83,1153767.17,346133.8,288444.93,57688.87
Springfield,Coonrod Inc.,120700319,5,3248654.3,2954615.23,294039.07,782751,488711.93,294039.07,88211.94,73509.97,14701.97
Springfield,Cousin Eddies Incorporated,120710677,5,31586480.18,29187690.62,2398789.56,9805927,7407022.21,2398904.79,719674.74,599729.02,119945.72
Springfield,"Coz's Pizza, Inc.",120706484,5,24113379.45,22309146.66,1804232.79,7351557,5547323.07,1804233.93,541272.88,451060.86,90212.02
Springfield,"Coz's Pizza, Inc.",160701026,5,4469080.56,4107594.44,361486.12,1480534,1119047.88,361486.12,108447.27,90372.76,18074.51
Springfield,"Craft Beer Bar, LLC",140702658,3,1442977.29,1307435.7,135541.59,519586,384044.41,135541.59,40663.38,33886.19,6777.19
Springfield,"D.H. Brown, Inc.",120706285,4,1648714.18,1515717.16,132997.02,620961,487963.12,132997.88,39900.51,33250.44,6650.07
Springfield,"DENKAR, Inc.",120706581,5,20104591.47,18538573.77,1566017.7,5737814,4171636.59,1566177.41,469856.14,391546.88,78309.26
Springfield,Dew Chilli Parlors of America LLC,180703020,5,503803.33,463977.49,39825.84,178222,138395.86,39826.14,11948.11,9956.75,1991.36
Springfield,"DEW CHILLI PARLORS OF AMERICA, LLC",140701342,3,2543624.41,2355389.74,188234.67,817076,628840.97,188235.03,56472.23,47060.24,9411.99
Springfield,"Dew Chilli Parlors of America, LLC No. 3",170703982,5,2649645.56,2437463.87,212181.69,916006,703824.23,212181.77,63655.16,53045.99,10609.17
Springfield,"Dew Chilli Parlors of America, LLC No. 4",180701240,5,1129863.42,1033624.76,96238.66,407410,311171.09,96238.91,28872.04,24060.04,4812
Springfield,Dick's Saloon Inc.,150700988,5,7160082.85,6619334.22,540748.63,2294388,1753639.35,540748.65,162226.34,135188.75,27037.59
Springfield,"DIP STIX, INC.",120706051,4,2965966.42,2744285.22,221681.2,777323,555641.8,221681.2,66504.57,55420.47,11084.1
Springfield,DIRTY SOUTH INC.,120709093,5,6109431.17,5587775.53,521655.64,2348011,1826353.14,521657.86,156500.06,130416.77,26083.29
Springfield,"DL KELLEY'S PROPERTIES, LLC",180702584,5,622601.24,575201.76,47399.48,207746,160346.52,47399.48,14219.94,11849.96,2369.98
Springfield,"DMI Enterprises, Ltd",130701650,3,247765.02,225881.3,21883.72,86644,64760.28,21883.72,6565.38,5471.15,1094.23
Springfield,"Dos Banditos, Inc.",120709293,3,689627.16,636318.36,53308.8,217614,164305.2,53308.8,15992.88,13327.42,2665.46
Springfield,DOWNTOWN DARREL'S INC.,150700709,2,91250.35,82629.64,8620.71,30333,21712.29,8620.71,2586.32,2155.27,431.05
Springfield,"Driftwood Special Servicing, LLC",150702506,5,3634510,3305117.59,329392.41,1273284.4,943891.99,329392.41,98818.79,82349.02,16469.77
Springfield,"DSB2, INC.",150704086,5,2604531.71,2391262.31,213269.4,896845,683575.6,213269.4,63981.43,53317.89,10663.54
Springfield,Dudes Saloon LLC,140700192,4,1279998.15,1165190.63,114807.52,378047,263239.43,114807.57,34442.96,28702.51,5740.45
Springfield,"DWAC, INC.",170704157,5,263132,245321.95,17810.05,90398,72587.9,17810.1,5343.25,4452.72,890.53
Springfield,Dynasty Asian Cuisine Inc.,150703892,5,8153471.4,7472803.81,680667.59,2691400,2010732.27,680667.73,204201.66,170168.12,34033.54
Springfield,"E.A. Dennis, Inc",120708331,3,2924328.04,2644090.62,280237.42,819439,539201.43,280237.57,84071.77,70059.82,14011.95
Springfield,ELENI FOODS 3 INC.,160703999,1,351706.49,319729.27,31977.22,130988,99010.78,31977.22,9593.44,7994.54,1598.9
Springfield,Engrained Brewing Company LLC,150702740,3,1141351.14,1032680.19,108670.95,445854,337183.05,108670.95,32602.13,27168.49,5433.64
Springfield,"EVANS RECREATION, LLC",140704357,5,6875372.82,6353661.73,521711.09,2196173,1674390.81,521782.19,156536.46,130447.07,26089.39
Springfield,"Fairview Restarante, LLC",150700174,3,550404.92,500661.92,49743,245169,195426,49743,14923.68,12436.42,2487.26
Springfield,"Finleysspringfield, LLC",170703121,5,1723348.21,1576146.45,147201.76,661864,514662.04,147201.96,44161.23,36801.04,7360.19
Springfield,"FP Barrelhead, LTD.",130705337,5,0,0,0,0,0,0,0,0,0
Springfield,Frank T. Westwood,120703788,5,2798559.22,2549878.19,248681.03,683328,434646.97,248681.03,74604.48,62170.41,12434.07
Springfield,Frank Westwood,140701112,5,2172391.3,1994225.36,178165.94,726542,548376.04,178165.96,53450.83,44542.37,8908.46
Springfield,"Frankie's Brewhaus, Inc.",160700434,5,2242291.3,2050039.53,192251.77,706612,514360.23,192251.77,57676.84,48064.08,9612.76
Springfield,"Franny's, Incorporated",120706340,5,36260125.25,33498961.31,2761163.94,12572948,9811420.92,2761527.08,828461.33,690384.55,138076.78
Springfield,"FULGENZI'S PIZZA & PASTA, INC.",120710239,5,4625617.07,4249855.65,375761.42,1678666,1302904.58,375761.42,112730.65,93942.27,18788.38
Springfield,"Galaxy Gaming, Inc",140702056,5,32693166.87,30058025.19,2635141.68,10896955,8261811.15,2635143.85,790545.88,658788.32,131757.56
Springfield,"GOLD DUST, LLC",140701072,5,39930107.8,36850178.77,3079929.03,14061811,10981831.14,3079979.86,923997.05,769997.63,153999.42
Springfield,Good Timer Inc.,120708634,5,10611656.84,9686864.13,924792.71,3656139,2731198.97,924940.03,277484.81,231237.41,46247.4
Springfield,"GOURMET FOOD PRODUCTION, INC.",160703596,4,48507.18,44793.25,3713.93,18858,15144.07,3713.93,1114.23,928.52,185.71
Springfield,"GRAHAM ENTERPRISES OF CENTRAL ILLINOIS, LLC",150702576,4,69148.01,64220.67,4927.34,26266,21338.66,4927.34,1478.47,1232.05,246.42
Springfield,GROOVY DUCK RESTAURANT INCORPORATED,160702299,4,184927.92,172963.9,11964.02,65347,53382.98,11964.02,3589.46,2991.2,598.26
Springfield,"GRUMPY'S CAFE & PUB, INC.",150703419,5,12459670.52,11528660.5,931010.02,3930460,2999415.46,931044.54,279315.18,232762.73,46552.45
Springfield,Hallie & Glenn Inc.,120706651,3,1983436.08,1828606.21,154829.87,661137,506306.84,154830.16,46450.06,38708.4,7741.66
Springfield,Harvey & Glenn Inc.,120706657,5,15758021.83,14480820.84,1277200.99,5413946,4136665.26,1277280.74,383187.03,319322.63,63864.4
Springfield,Heather J Wise,120707011,5,16863214.62,15415970.3,1447244.32,5573573,4126293.61,1447279.39,434186.49,361822.15,72364.34
Springfield,"HERITAGE DEVELOPMENT COMPANY OF ILLINOIS, INC.",160701566,1,453610.51,419956.19,33654.32,164556,130901.58,33654.42,10096.83,8414.02,1682.81
